ID Kombinasi,Kategori pH Tanah,Kategori Tekstur/Fisik Tanah,Kategori Bahan Organik (BO),Rekomendasi Dosis Dasar Biochar Aktif (kg/m²)*,Konversi Aplikasi SPOT (g/lubang ~30L)**,Konversi Aplikasi BAND/FURROW (g/m lajur)***,Fokus Utama Aplikasi & CATATAN PENTING (untuk Pengguna Awam)
B-L-S,Basa,Berat/Liat,Sedang,0.1 - 0.2 kg/m²,9 - 18 g (0.02 - 0.05 L) per Lubang ~30L,20 - 40 g (0.05 - 0.1 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis minimalis untuk struktur. Tambah pupuk kompos. HENTIKAN jika pH makin naik.
B-L-T,Basa,Berat/Liat,Tinggi,0.05 - 0.15 kg/m²,4.5 - 13.5 g (0.01 - 0.03 L) per Lubang ~30L,10 - 30 g (0.025 - 0.075 L) per meter lajur bedeng,"pH SANGAT TINGGI! Tanah subur. Pertimbangkan apakah biochar benar-benar perlu. Jika ya, dosis sangat-sangat kecil untuk stabilitas karbon. HENTIKAN jika pH makin naik."
B-PM-SR,Basa,Sedang/Lempung,Sangat Rendah,0.1 - 0.3 kg/m²,9 - 27 g (0.02 - 0.07 L) per Lubang ~30L,20 - 60 g (0.05 - 0.15 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis sangat sedikit. Fokus hanya pada KTK. WAJIB tambah SANGAT BANYAK pupuk kompos (agak asam). HENTIKAN jika pH makin naik.
B-PM-R,Basa,Sedang/Lempung,Rendah,0.1 - 0.2 kg/m²,9 - 18 g (0.02 - 0.05 L) per Lubang ~30L,20 - 40 g (0.05 - 0.1 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis minimalis. PENTING tambah pupuk kompos (agak asam). HENTIKAN jika pH makin naik.
B-PM-S,Basa,Sedang/Lempung,Sedang,0.05 - 0.15 kg/m²,4.5 - 13.5 g (0.01 - 0.03 L) per Lubang ~30L,10 - 30 g (0.025 - 0.075 L) per meter lajur bedeng,"pH SANGAT TINGGI! Pertimbangkan tidak pakai biochar. Jika pakai, dosis sangat-sangat kecil. HENTIKAN jika pH makin naik."
B-PM-T,Basa,Sedang/Lempung,Tinggi,0.0 - 0.1 kg/m²,0 - 9 g (0 - 0.02 L) per Lubang ~30L,0 - 20 g (0 - 0.05 L) per meter lajur bedeng,"pH SANGAT TINGGI & TANAH SUDAH SUBUR. Sebaiknya TIDAK PERLU biochar. Jika dipaksa, dosis hampir nol hanya untuk studi."
B-R-SR,Basa,Ringan/Pasir,Sangat Rendah,0.2 - 0.4 kg/m²,18 - 36 g (0.05 - 0.09 L) per Lubang ~30L,40 - 80 g (0.1 - 0.2 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis sangat sedikit. Fokus: bantu simpan AIR & NUTRISI. WAJIB tambah SANGAT BANYAK pupuk kompos (agak asam). HENTIKAN jika pH makin naik.
B-R-R,Basa,Ringan/Pasir,Rendah,0.1 - 0.3 kg/m²,9 - 27 g (0.02 - 0.07 L) per Lubang ~30L,20 - 60 g (0.05 - 0.15 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis minimalis. Fokus: bantu simpan AIR & NUTRISI. PENTING tambah pupuk kompos (agak asam). HENTIKAN jika pH makin naik.
B-R-S,Basa,Ringan/Pasir,Sedang,0.1 - 0.2 kg/m²,9 - 18 g (0.02 - 0.05 L) per Lubang ~30L,20 - 40 g (0.05 - 0.1 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis sangat-sangat kecil. Tambah pupuk kompos. HENTIKAN jika pH makin naik.
B-R-T,Basa,Ringan/Pasir,Tinggi,0.05 - 0.15 kg/m²,4.5 - 13.5 g (0.01 - 0.03 L) per Lubang ~30L,10 - 30 g (0.025 - 0.075 L) per meter lajur bedeng,"pH SANGAT TINGGI! Tanah subur. Mungkin tidak perlu biochar. Jika ya, dosis sangat-sangat kecil. HENTIKAN jika pH makin naik."
B-PK-SR,Basa,Padat/Kompak,Sangat Rendah,0.2 - 0.5 kg/m²,18 - 45 g (0.05 - 0.11 L) per Lubang ~30L,40 - 100 g (0.1 - 0.25 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis sangat sedikit. Fokus: bantu bongkar kepadatan. WAJIB tambah SANGAT BANYAK pupuk kompos (agak asam). HENTIKAN jika pH makin naik.
B-PK-R,Basa,Padat/Kompak,Rendah,0.1 - 0.4 kg/m²,9 - 36 g (0.02 - 0.09 L) per Lubang ~30L,20 - 80 g (0.05 - 0.2 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis minimalis. Fokus: bantu bongkar kepadatan. PENTING tambah pupuk kompos (agak asam). HENTIKAN jika pH makin naik.
B-PK-S,Basa,Padat/Kompak,Sedang,0.1 - 0.3 kg/m²,9 - 27 g (0.02 - 0.07 L) per Lubang ~30L,20 - 60 g (0.05 - 0.15 L) per meter lajur bedeng,pH SANGAT TINGGI! Dosis sangat-sangat kecil. Tambah pupuk kompos. HENTIKAN jika pH makin naik.
B-PK-T,Basa,Padat/Kompak,Tinggi,0.05 - 0.2 kg/m²,4.5 - 18 g (0.01 - 0.05 L) per Lubang ~30L,10 - 40 g (0.025 - 0.1 L) per meter lajur bedeng,"pH SANGAT TINGGI! BO tinggi bantu kepadatan. Mungkin tidak perlu biochar. Jika ya, dosis sangat-sangat kecil. HENTIKAN jika pH makin naik."
